State,Participation,English,Math,Reading,Science,Composite
Alabama,100%,18.7,18.1,19.5,18.8,18.9
Alaska,38%,18.9,19.9,20.9,20.2,20.1
Arizona,73%,17.9,19.2,19.3,19.0,19
Arkansas,100%,19.0,18.7,19.6,19.2,19.3
California,23%,22.4,22.3,23.0,22.2,22.6
Colorado,27%,23.8,23.3,24.3,23.4,23.8
Connecticut,22%,25.9,24.7,26.1,24.8,25.5
Delaware,13%,23.9,23.1,24.7,23.5,24.1
District of Columbia,32%,23.6,22.7,24.4,22.9,23.5
Florida,54%,19.5,19.5,21.2,19.7,20.1
Georgia,49%,20.9,20.7,22.2,21.2,21.4
Hawaii,80%,17.9,19.2,19.2,19.2,19
Idaho,31%,21.9,21.9,23.4,22.2,22.5
Illinois,35%,24.5,23.8,24.7,23.7,24.3
Indiana,29%,21.7,22.3,23.1,22.2,22.5
Iowa,66%,20.8,21.0,22.3,21.8,21.6
Kansas,72%,20.5,20.7,21.8,21.1,21.2
Kentucky,100%,19.5,19.2,20.5,19.6,19.8
Louisiana,100%,18.7,18.2,19.2,18.8,18.8
Maine,6%,24.2,23.8,25.1,23.7,24.3
Maryland,28%,22.0,21.7,23.1,22.1,22.3
Massachusetts,21%,25.5,25.2,26.1,24.8,25.5
Michigan,19%,24.5,24.0,24.8,24.0,24.4
Minnesota,95%,20.3,21.4,21.7,21.6,21.4
Mississippi,100%,18.1,17.9,18.9,18.4,18.4
Missouri,82%,20.3,20.2,21.3,20.8,20.8
Montana,100%,18.7,19.7,20.6,19.9,19.8
Nebraska,100%,19.4,19.7,20.3,20.2,20
Nevada,100%,16.8,18.0,18.2,17.9,17.9
New Hampshire,14%,24.9,24.7,25.6,24.5,25
New Jersey,25%,24.3,24.0,24.6,23.6,24.2
New Mexico,63%,18.1,18.9,20.0,19.6,19.3
New York,22%,24.1,24.1,25.0,24.4,24.5
North Carolina,100%,17.8,19.2,19.4,19.0,19
North Dakota,96%,18.6,19.9,20.3,20.2,19.9
Ohio,100%,19.0,19.9,20.5,20.1,20
Oklahoma,100%,18.2,18.3,19.6,19.0,18.9
Oregon,42%,20.3,20.8,21.7,21.1,21.1
Pennsylvania,17%,23.3,23.1,24.1,23.2,23.6
Rhode Island,12%,25.0,23.9,25.5,24.0,24.7
South Carolina,78%,18.0,18.7,19.4,18.9,18.8
South Dakota,75%,20.7,21.3,22.2,21.9,21.6
Tennessee,100%,19.1,18.9,19.7,19.2,19.4
Texas,39%,19.5,20.4,21.1,20.6,20.5
Utah,100%,19.5,20.0,20.8,20.3,20.3
Vermont,20%,23.9,23.3,25.0,23.9,24.1
Virginia,21%,23.8,23.3,24.8,23.6,24
Washington,24%,21.3,22.1,22.7,21.9,22.1
West Virginia,49%,20.6,19.7,21.7,20.7,20.8
Wisconsin,100%,19.4,20.2,20.4,20.6,20.3
Wyoming,100%,18.8,19.4,20.4,20.0,19.8
National,52%,20.1,20.4,21.2,20.6,20.7
